1000 5000
Leno SanGiovanniDiGerace 1372.25
CaseNuove CassanoIrpino 2499.83
Casavecchia Grantola 335.32
Caldarola Rezzato 516.66
Girifalco SoveratoSuperiore 26.88
Erbezzo Tornata 197.54
LimoneSulGarda Spirano 300.03
SanteramoInColle Tettorosso 4247.27
Luras SantaGiuletta 715.03
Esanatoglia MonasteroloCasotto 635.35
ForteDeiMarmi SanNazzaroSesia 466.37
Brienza SanLuca 898.57
RiesePioX Taio 209.04
Broni Pietragalla 2881.38
MontorioAlVomano Trebbo 625.48
Brognaturo Migliarina 1929.02
Onano Patti 959.53
Lanvario Vignola 553.61
Oliena Spinazzola 1869.78
Casalbuttano ForlìDelSannio 594.57
Favari-Avatanei Gavi 159.2
Castelfondo Vervio 78.88
Montagne Pray 541.48
MornicoLosana Ozieri 1921.84
CastelnuovoDiValDiCecina Larino 1289.88
Mattarello Viale 1284.05
Cannalonga Offanengo 3027.74
Borgorose Ozieri 1187.6
BarbaranoRomano MagrèSullaStradaDelVino 1636.27
PonteAPoppi StazioneMontalto-Coretto 1596.48
PozzuoloMartesana Vercana 125.69
Capitignano Spinete 265.99
Propata SerenDelGrappa 487.24
Borgorose Ghiffa 2006.57
MuroLeccese ViglianoD'Asti 2004.73
Palagianello Rombiolo 574.17
RivaltaDiTorino Vita 2334.24
RonchiDiCampanile Vacone 692.49
Ciminna Montese 2635.05
Castagnito SanBellino 402.05
CannetoPavese Valli 581.27
Aurisina Pomezia 1628.42
Brognaturo Sestu 2846.94
Monteverde Torrebelvicino 1877.73
Ca'Morosini Montiglio 707.27
PuegnagoSulGarda Villaga 152.81
Durazzano SpignoSaturniaSuperiore 108.56
Conscenti SantoStefanoQuisquina 624.8
MarinaDiSchiavonea NoviLigure 1729.73
Milis ValeggioSulMincio 1555.23
Rodero Settala 78.08
Arielli Soldano 1449.62
Confienza Selva 1312.07
Brognaturo OrioAlSerio 1437.61
MarinaDiSchiavonea Saonara 1598.66
Aielli Grugliasco 1048.27
Dogliola PuosD'Alpago 1756.8
Lauregno Oliena 2647.38
Arona MontePorzio 952.39
Alife Siliqua 2273.86
Fanna Montenerodomo 1360.55
Ferrandina RoccellaValdemone 980.11
CoregliaLigure Padria 1689.8
FabroScalo FrassoTelesino 471.65
BelvedereSpinello CastelRozzone 1555.51
Alatri Bandito 1870.26
Montesegale SanBenedettoUllano 1472.27
MadonnaDelSasso Noto 3616.12
Campodenno MirabellaImbaccari 2810.5
Campodenno Zuglio 659.72
MarinaDiSchiavonea Roburent 1629.1
BarbaranoRomano Villair-Amerique 459.56
Piano Zuclo 2667.75
CastelnovoBariano Colombella 960.42
Albignasego Torresina 224.64
Fanna MacchiaD'Isernia 1196.83
BagnoliDiSopra Trevi 229.21
Castelcucco Triggiano 1585.22
Calizzano IstiaD'Ombrone-LeStiacciole 1443.0
BadiaPavese Taverna 2428.85
SantaGiuletta StradaInCasentino 649.23
ButtiglieraAlta Corropoli 2691.08
Dosso Propata 211.62
CassanoDelleMurge Propata 561.57
Cepagatti RoncoCanavese 2922.31
Torriana Villassio 1388.76
SanGiorgioIonico SanteMarie 1404.84
Cosniga-Zoppè PuosD'Alpago 22.31
GricignanoDiAversa Ponso 754.81
Civezza IsolaDelLiri 1014.94
Pellizzano PonteRonca 344.9
Cervesina PietraMarazzi 79.7
Briosco CostiglioleSaluzzo 415.55
CampigliaCervo Gavignano 1551.95
Serdiana Sforzacosta 2435.8
Tavarnuzze Taverna 1451.58
Giusvalla RoioDelSangro 1316.26
Belvedere-PianoTavola SanMarcoD'Alunzio 202.02
Rombiolo TioneDiTrento 1675.27
FerraraDiMonteBaldo MarinaDiFuscaldo 1880.5
NoviLigure Tavoleto 219.81
CastiglioneOlona Merano 643.53
AzzanoDecimo SanGabriele-Mondonuovo 237.28
Savelli Zuglio 2370.57
SanLorenzoAlMare Valfloriana 1262.15
CampagnolaEmilia CuraCarpignano 271.92
Castelcucco Strigno 115.05
Maschito Pellizzano 601.28
FalernaScalo Ponzano 1625.36
StazioneMontalto-Coretto Temù 1459.36
LimoneSulGarda Sant'Apollinare 1417.8
Ambivere Corropoli 1009.57
Craveggia Onè 788.29
Cedrasco VolturaraIrpina 2147.74
Crema MarinaDiFuscaldo 885.71
CuassoAlPiano Rezzato 243.33
Pertegada Silea 296.56
Manduria PolizziGenerosa 1842.13
Confienza Prunetto 284.23
Mammola Siliqua 1224.04
MonteneroDiBisaccia StagnoLombardo 439.51
Casalgrasso Feisoglio 112.36
SambucaDiSicilia Sinio 2278.05
Canalicchio LeForna 1329.79
Acri Spinete 660.5
BagnoARipoli CorvaraInBadia 859.99
Craveggia Rombiolo 2247.39
Fossò Morino 457.81
Peseggia-Gardigiano Pradamano 318.01
MontePorzio Nerola 118.57
Caldarola Mattarello 1132.06
Lettopalena SanPietroCapofiume 1089.0
IsolaDelleFemmine SanLorenzoDiSebato 3580.03
BorghettoDiBorbera SambucaDiSicilia 1851.36
Calvignasco PozzaglioEdUniti 132.43
Patti Viale 2465.42
Mombasiglio Roccamonfina 640.78
Arrone Saletto-SanBartolomeo 579.15
Melpignano SantoStefanoRoero 3788.14
Temù ValeggioSulMincio 325.62
Pescantina Senigallia 501.25
Curinga SantaMariaImbaro 1120.64
CapoD'Orlando CastiglioneOlona 3518.42
Conselice SanMauroTorinese 1001.14
Pistrino Sambuco 1754.68
CascinaElisa Marsala 1293.96
MarinaDiSchiavonea Montegridolfo 1147.73
Folignano MontepulcianoStazione 694.87
RosignanoMarittimo Toirano 934.15
BarberinoDiMugello Sant'Ippolito 291.95
Fontanella Ottaviano 2496.6
FiumefreddoSicilia Mezzenile 2775.86
PianaDegliAlbanesi TorreDelGreco 756.4
Cartura SanLorenzoDiSebato 336.64
Corrido Vigasio 514.31
PianaDegliAlbanesi Sant'Ippolito 520.3
Thiesi Trebbo 690.16
Ponso Quartiano 394.65
Cerano Civesio 63.06
MassaD'Albe-Corona Ostana 1817.02
Calvanico Pederiva 679.61
Colorno Perrero 196.15
CaliceLigure Camposampiero 1495.23
MonteMiglioreLaSelvotta Palizzi 1232.85
SilvanoD'Orba Torresina 132.12
Fragagnano Roccabianca 3748.23
CivitanovaMarche Samone 1975.98
CostiglioleSaluzzo Galatina 3482.1
Campomaggiore Valfloriana 1038.21
Quartiano Suvereto 413.31
CastiglioneD'Orcia Sava 939.62
Alatri Pescantina 985.44
BariSardo ForteDeiMarmi 732.64
Castelbelforte SantaBrigida 437.34
Bucine Grugliasco 1503.07
Corniglio Curcuris 1724.75
Busachi Meolo 2249.62
Fiumalbo-Dogana Monteverde 351.93
Spinete Terrasini 1049.94
Fanna SelvaDeiMolini 261.24
Intragna SanJacopoAlGirone 1371.48
Dogliola PavoneDelMella 832.59
CaprinoVeronese Cicciano 360.06
Frattaminore MassaD'Albe-Corona 430.12
Carceri Savelli 1267.68
Mezzocorona MonteneroDiBisaccia 484.87
CervareseSantaCroce Gabella 383.94
FiumefreddoSicilia Osasio 2241.34
SanGregorioNelleAlpi SanZenoNaviglio 776.13
Fontainemore Polonghera 149.22
Arpaise FoianoDellaChiana 247.38
Bandito Posina 885.59
Genuri SanLorenzoAlMare 918.74
BorgoSanPaolo Usini 1839.35
Campodarsego NoviLigure 820.84
Noto Sant'AngeloMuxaro 329.23
Biandronno GricignanoDiAversa 1963.47
Campodenno Galatina 3920.84
MassaD'Albe-Corona SantaMariaDelMolise 385.35
Dovera Mapello 117.11
CaliceLigure Giave 701.15
SanFiorDiSopra Vercana 577.9
Ferrandina GrisignanoDiZocco 870.52
ContessaEntellina Polonghera 994.38
Mombasiglio VillaCarcina 906.03
Buscoldo Milis 1330.99
BagnoARipoli SammicheleDiBari 2279.95
Canegrate Udine 313.96
CasalCermelli Stilo 2950.72
CorvaraInBadia Piattoni-VillaSant'Antonio 827.37
CasascoIntelvi VigaranoMainarda 178.84
Cammarata Marco 2048.1
Costarainera Lanvario 668.7
Murisengo Valnegra 664.38
Portula Rogno 593.69
Bessude Calvignasco 344.72
Cappelletta SanMauroTorinese 624.97
CampoMarzio Fragagnano 2290.71
Sarno Valli 1684.9
Rebaudengo SantaMariaNavarrese 724.99
Falerone Piano 633.63
SanGiorgioIonico Temù 1891.7
RocchettaNuova Verdello 499.41
Folignano Molinella 1154.22
Manduria Mezzenile 2014.26
Alba Pray 349.15
Dogliola Guardistallo 424.05
Aurisina Belvedere-PianoTavola 566.9
Cervesina Sassinoro 1046.88
Morino Quassolo 732.04
CampoJemini SanFratello 953.51
PonteRonca RocchettaNuova 1451.92
Aidone Roccamonfina 358.24
Marconia PrignanoSullaSecchia 1421.84
Ambivere VillaFornace 182.78
BarrieraDiMilano Cagnò 291.7
Ayas Cecina 967.63
Andali Vita 314.3
Esanatoglia Monteviale 468.23
Sant'AndreaInCasale Spinete 1299.32
Dovera SoglianoCavour 2263.46
FoianoDellaChiana Sueglio 1640.37
Campodenno CerretoLaziale 591.39
Cosniga-Zoppè Guardistallo 1236.64
Franche Mendicino 909.65
Roncà Tornata 322.36
Bistagno Teramo 1396.3
Centinarola Centrache 1867.29
Briosco Cene 214.06
Campochiesa Marcallo 615.56
LugagnanoValD'Arda Pietralunga 286.52
AlbanoSant'Alessandro Pomezia 1982.42
Briosco Donnalucata 3764.76
Cappelletta Cepagatti 1106.63
Dogliola Spartimento 114.08
BaldisseroTorinese Roccamonfina 2548.28
FagnanoCastello Silea 1796.4
Ghislarengo Santopadre 421.43
CastiglioneD'Orcia Pontebba 331.78
Caldiero RiesePioX 147.05
BariSardo SanGiovanniLipioni 1109.1
CastelfrancoEmilia Grottaminarda 358.51
Amato Spadafora 54.76
Forlimpopoli TravedonaMonate 603.64
Prignano Scansano 556.36
Cossignano Gragnano 331.88
Latiano Pernumia 3234.13
Fontainemore Stigliano 722.41
Delebio Mentana 1954.45
ProgettoCaseSassaNsi RiesePioX 525.53
CaprinoVeronese Piscina 477.83
Carona Leonessa 1468.65
Camponogara Collelongo 1186.6
Massiola Torresina 570.41
Campli Soldano 1137.83
Calizzano PozzuoloMartesana 685.75
BrindisiMontagna Buonvicino 86.27
Saludecio SantoStefanoDiCamastra 2593.25
Corropoli PerosaArgentina 1910.47
Bubano Introzzo 783.52
MadonnaDelSasso Sant'ArcangeloTrimonte 3442.64
Ailoche Cecina 1147.07
Colturano Niardo 156.44
Magomadas Soldano 470.47
Calvignasco Troia 1255.05
CassanoIrpino Portigliola 223.83
Masera MornicoLosana 120.84
Mezzocorona Vignola 272.61
BorgoDiTerzo CastelRitaldi 1102.37
SanGiorgioInSalici Sant'AngeloMuxaro 2557.23
CastelloTesino MonteMiglioreLaSelvotta 1539.81
Bobbio Camposampiero 521.41
Prignano Rezzato 86.04
Fonteno RocchettaNuova 1874.92
Fossacesia Teverola 358.88
Camposampiero Masera 581.47
Monteverde Rosolina 1340.39
SoveratoSuperiore Torrebelvicino 2402.79
Porto Presicce 469.97
Bova Montagne 1598.71
Nerviano Trevico 793.56
CisanoBergamasco Scheggino 1043.76
Bagnasco Bagnoli 1992.78
Caspoggio Sant'EgidioAllaVibrata 2055.13
Cicciano Spadafora 495.97
PiazzaBrembana Ponti 192.09
CervareseSantaCroce Prignano 410.45
CollaltoSabino Valfenera 367.73
Crognaleto Ottiglio 2508.17
Caspoggio Fiumalbo-Dogana 322.15
Muros Visco 2569.55
Molinella PietraMarazzi 758.8
Giave SammicheleDiBari 605.01
Centinarola ForlìDelSannio 417.12
Muravera Treville 1290.19
CasalettoLodigiano Madrano-Canzolino 803.76
BagnoRoselle Bannio 1152.7
Castroreale Centrache 545.94
Candiolo Prunetto 299.59
CasascoIntelvi Sospiro 112.13
Pietralunga Tolentino 118.3
RoioDelSangro SommaVesuviana 185.0
FiglineValdarno Villaverla 533.38
Caluso Crone 459.4
Figliaro Gavi 81.19
Catenanuova Piano 540.21
CassanoDelleMurge Fiumalbo-Dogana 2546.53
BagnoRoselle Povegliano 458.83
Corrido Grosseto 1332.56
Cominio VillaFornace 1962.61
Mazzano Sassinoro 1912.52
Meltina Trevico 2817.79
Cassacco Forano 629.49
Durazzano MezzanaRabattone 2163.97
CastiglioneD'Orcia Melpignano 2382.18
MontecalvoInFoglia Tolentino 112.2
Palaia Spinete 673.2
Rezzato StagnoLombardo 207.71
Fallo Montesegale 1401.73
Fanna Parre 637.72
Fondi SanNazzaro 135.66
Lauriano Pellaro 659.47
Dosolo Fontanella 98.27
Fondo Thiene 144.55
Castellafiume SanLeonardo 1185.75
Ozieri SanGiovanniDelDosso 2040.47
Cimadolmo SanLorenzoAlMare 663.18
BellanteStazione Porto 130.52
Bobbio Padru 706.46
FalernaScalo MottaSant'Anastasia 618.18
Foligno Pegolotte 704.93
AlìTerme FiglineValdarno 395.64
PolizziGenerosa Samone 4293.19
Calatabiano Carinola 976.19
BadiaCalavena Maccagno 1056.94
Melpignano SanTerenzo 3144.2
Meltina Ronago 698.24
Curtarolo Visco 145.25
Aviatico Pievepelago 383.82
Bannio TuoroSulTrasimeno 1805.37
Gaiba Saludecio 441.44
Grantola Strigno 999.36
SanNazzaro SantoStefanoLodigiano 2070.89
CervareseSantaCroce Sant'Apollinare 1561.05
Pomponesco SanMauroAMare 213.59
Casignana MelitoDiNapoli 1464.45
Carsoli CittàDellaPieve 390.39
Dipignano RuvoDiPuglia 149.71
SanGiovanniDelDosso Vieste 2458.83
SanGiovanniLipioni Villair-Amerique 1113.56
Corrido Precenicco 1215.79
Dipignano Lettopalena 284.69
Seveso Valfloriana 362.53
Carnate Fontainemore 173.62
Alife SanPietroCapofiume 504.05
Milis Toirano 1468.21
Futani Gaggio 1646.18
Colturano Zogno 123.6
Follina Latiano 2088.24
Biandronno Castelbuono 2535.29
SoglianoCavour Zaccanopoli 269.44
Ciminna VolturaraIrpina 628.55
FrassoTelesino Portigliola 1222.36
BorgoDiTerzo Candelù 810.9
Acquaformosa Villair-Amerique 1555.31
Sava Zuglio 2496.19
Melpignano SettimoMilanese 3576.94
BellanteStazione ButtiglieraAlta 2663.05
Calasca-Castiglione RovelloPorro 326.34
CastelnovoBariano Lugo 122.0
Civitaluparella TrezzoTinella 1649.74
Mulazzo Spinazzola 2904.89
Albignasego Padria 2104.13
BorgoDiTerzo Saletto-SanBartolomeo 566.45
SanSosti ValeggioSulMincio 1044.17
Colorina Verdello 192.19
Beinette ForteDeiMarmi 723.8
Foglizzo Labico 1254.45
Fallo SanCataldo 1580.79
Genuri Montagne 1626.81
Peseggia-Gardigiano Stilo 2840.29
SanMarcoD'Alunzio Trecenta 2491.53
Mesenzana SanNazzaroSesia 36.81
Perrero TrescoreBalneario 1227.43
Carceri ColleCampano-Scrima 1514.5
BorghettoDiBorbera Fanna 803.71
Masera Patti 2527.29
Lumellogno VillaDiSerio 400.18
Casalborgone Guardistallo 1057.01
CapoD'Orlando Giacalone 533.62
Calizzano Poggiorsini 907.67
Monselice RiesePioX 134.21
CastelnuovoParano Girifalco 1105.24
Bucine Collesano 2073.46
Genoa MontePorzio 296.64
Mentana Torriglia 640.19
PuosD'Alpago SanCostantinoCalabro 2240.59
Muravera Patti 1370.8
FagnanoCastello Valfenera 1962.87
MontaltoDelleMarche SantoStefanoLodigiano 371.36
Moglia SanLorenzoDiSebato 783.21
MonteArgentario SanZenoNaviglio 565.79
MonteMiglioreLaSelvotta Sanguinetto 1547.0
Roccalumera SanFerdinandoDiPuglia 616.48
Cammarata VillaFontana 2356.41
Montefusco SolignanoNuovo 367.11
Favari-Avatanei Murisengo 37.76
Ca'Morosini Renazzo 161.63
Casalborgone Vallà 617.18
CampoMarzio Paladina 1251.66
Serdiana Tettorosso 986.78
Ca'Morosini Craco-Sant'Angelo 1428.5
Grugliasco SilvanoD'Orba 180.6
Colturano Piscina 148.44
CastelnuovoDiFarfa CastiglioneD'Orcia 297.83
Spinete Toirano 718.89
Carunchio Pigna 2257.67
Collesano Fonteno 3811.88
Lessona Pontechianale 269.39
MaglianoInToscana Prizzi 1950.83
Pozzoleone Sairano 269.69
Gosaldo Pianoro 340.47
Cissone Visciano 1000.43
BorgoSanPaolo Proves-Proveis 616.4
Brogliano Pescorocchiano 1214.29
Brogliano Lettopalena 385.48
Mercallo Torriglia 159.81
SerenDelGrappa SoveratoSuperiore 1670.38
Oliena SanBellino 2122.33
Caldiero Oliena 323.22
Venturina Villaseta 823.15
Ballabio ViglianoD'Asti 491.44
CerretoLanghe Pontelatone 1586.68
CampolongoAlTorre-Cavenzano Ostana 2277.31
AzzanoDecimo SanPietro 376.59
Montegaldella SambucaDiSicilia 2153.13
Caravate Desulo 1472.04
Casalgrasso Lumezzane 1079.04
Maclodio SommaVesuviana 2293.28
Gavi Vignola 832.66
Madignano SanNazario 168.93
Genga Progresso 393.32
Progresso Torriana 264.16
Crognaleto Sezzadio 2255.28
Folignano Sant'AndreaInCasale 498.81
LeForna PerosaArgentina 2006.12
Collelongo SammicheleDiBari 690.96
Alberi Marcaria 34.8
Fluminata Saint-Christophe 627.94
Lettomanoppello Rogolo 2047.92
Latiano SanteMarie 1913.36
PozzaglioEdUniti SanLorenzoInCampo 908.29
Saludecio Torresina 688.1
Parre SanNazzaro 2031.0
Mentana Miggiano 738.39
Bistagno MontecalvoInFoglia 569.5
Campertogno TaibonAgordino 680.28
Cras Soiano 592.42
Belvedere-PianoTavola Massanzago-Ca'Baglioni-SanDono 843.52
Montesegale Thiesi 919.65
Casabona Sinio 2541.86
PolpenazzeDelGarda PrataDiSotto 476.5
FaraInSabina Selva 681.61
Palagianello RuvoDiPuglia 262.11
Colturano IstiaD'Ombrone-LeStiacciole 669.69
Cammarata Strigno 3156.39
SanCostantinoCalabro Trevi 1922.25
FavaleDiMalvaro FrassoTelesino 1540.16
Pescantina Selva 1022.02
CampagnolaEmilia Gandino 410.68
Nociglia SclafaniBagni 2180.8
Campospinoso Lessona 265.08
CaseNuove Pietragalla 2979.72
ButtiglieraAlta Cerano 368.53
CascinaElisa Teggiano-Macchiaroli 2866.81
AlbanoLaziale Cras 1689.27
Sant'EgidioAllaVibrata Terrasini 1304.5
Catenanuova Troia 1136.12
Arpaise Bandito 2692.08
BoscoMarengo Mamoiada 1102.39
Braies FavaleDiMalvaro 463.98
FerraraDiMonteBaldo GaglianoCastelferrato 2866.14
Anela SanNazzaroSesia 314.29
Pontebba SantaGiuletta 1112.89
SanGiorio SanGiulianoDelSannio 3390.94
FornaceZarattini Morino 255.25
Gavi SanTerenzo 128.52
Manerbio SanMauroDiSaline 352.9
Bobbio Vimercate 306.68
Bova Massanzago-Ca'Baglioni-SanDono 1151.56
Cuggiono Pompei 1844.47
Imposte Pellaro 777.23
Buonvicino Colombella 1946.28
Caldonazzo Olmeneta 435.19
Padria Roburent 335.33
Grosseto LonatePozzolo 1469.83
PuosD'Alpago Rosolina 67.12
Cossignano Trevenzuolo 1397.37
Pievepelago Tavoleto 849.71
Afragola SantoStefanoLodigiano 1178.61
Ardara Mazzano 881.08
Intragna Vercana 278.35
MilanoDue Pegolotte 245.53
Meolo Suni 1361.95
Feisoglio Onè 279.81
Bucine Roncà 648.03
Alife Calasca-Castiglione 3248.11
Calamonaci CampolongoAlTorre-Cavenzano 2681.51
CuassoAlPiano Valnegra 138.85
BariSardo Udine 2208.13
RoggianoGravina Sanza 209.82
VolpagoDelMontello Zuclo 223.65
Carunchio Migliarina 701.85
Bogogno Monselice 338.45
Ayas Cerva 3297.3
Azzone Moiola 1120.34
MontepulcianoStazione RivaltaDiTorino 1253.14
Firmo Setteville 1567.01
Monteflavio Polonghera 1539.49
Capua Trebbo 1792.54
Madrano-Canzolino SanMauroPascoli 331.24
Pozzoleone Tavoleto 226.19
Campochiesa Pabillonis 399.09
BorgoDiTerzo FrancavillaD'Ete 1315.08
Albignasego Longhi 196.96
CastellettoMerli Falerone 724.01
Pinzolo RovelloPorro 493.32
Monzambano Sant'AntonioAbate 731.52
Pellaro TorreDelGreco 1259.06
Calatabiano Maerne 1641.85
PrataDiSotto SantaTecla-Castelpagano 380.0
Bertiolo Peseggia-Gardigiano 276.96
Montiglio Nerola 1322.51
Pegolotte Valenzano 1833.52
Masera Milis 1633.57
Dipignano Usini 3275.17
Donnalucata Rombiolo 354.0
Crone Rezzato 69.38
Cirimido Silea 645.29
Bannio Grottolella 1056.51
Crespadoro Prizzi 3219.62
SantaMariaImbaro Villaverla 1614.66
Lettomanoppello Meolo 1264.11
Fanna Monsano 870.39
Corniglio Curinga 2715.75
Broccostella Roncello 1854.93
CampigliaCervo Torchiarolo 3677.52
Arpaise MontaltoDelleMarche 355.17
MonteArgentario Ostana 1254.73
Ambivere Folzano 49.48
Colturano PavoneDelMella 344.69
Cannalonga Gorreto 2555.61
Piea Roburent 214.71
CastelfrancoEmilia SanLorenzoNuovo 253.26
Genoa Pabillonis 1043.48
Castelcovati Catenanuova 1358.97
Calatabiano Corropoli 1534.76
Palaia Pontelatone 1339.98
Calamonaci CornedoVicentino 474.31
Calizzano Sanguinetto 1395.74
Bagnolo Ossi 2223.89
Masera Petrignano 1005.82
FrassoTelesino Mombasiglio 3217.9
Arielli PozzuoloMartesana 1827.19
Posina Voltana 208.01
Briosco Mezzenile 283.26
Belverde ConcordiaSullaSecchia 467.57
Cerano TrezzoTinella 200.49
Quaderni Zogno 450.32
CittàDellaPieve SanGabriele-Mondonuovo 561.64
Piattoni-VillaSant'Antonio Torriana 176.07
Saludecio Sezzadio 483.39
LugagnanoValD'Arda Vicalvi 1222.76
Allai Aviatico 2435.91
Castelfranci SanGiorgioInSalici 1854.77
Fiumalbo-Dogana Intragna 268.27
Lasino Sarno 2058.03
Piano Ponzano 340.67
Campertogno Pradamano 1977.16
Villair-Amerique Visco 404.28
CassanoIrpino Montegaldella 1612.48
Bucine PolpenazzeDelGarda 959.53
Dosso MezzanaRabattone 353.59
Dogliola SanZenoNaviglio 552.74
Brogliano ValpratoSoana 246.74
Baraggia Nicotera 1109.82
Caldarola Cannalonga 500.91
Boretto Costarainera 1129.51
Campli Fossacesia 128.38
Monselice Nicotera 485.68
Barra Casto 2118.15
CasamicciolaTerme MornicoLosana 2657.58
Canalicchio Cremolino 3372.71
Gabella Mondolfo 258.52
MontecalvoInFoglia Thiene 517.61
Allai Valenza 1849.3
Curcuris Valdieri 1981.6
Alba Prunetto 15.19
MilanoDue Roccamonfina 2426.28
CaseNuove Vimercate 379.79
Donnalucata Gabella 577.71
Bistagno Kamma 1305.27
Casalgrasso Ruda 1200.31
Lavinaio-Monterosso Maclodio 1155.55
LeForna MottaSant'Anastasia 693.76
Fluminata Morgex 2054.49
Mulazzo Valli 929.05
BagnoARipoli Santopadre 208.12
Civitaluparella Spirano 326.92
Alife Marsala 1286.24
Lavenone Venturina 503.02
Cassinelle-Concentrico TaibonAgordino 214.87
Portalbera VillaMusone 1715.56
CasalettoLodigiano Polonghera 485.1
GerolaAlta Sant'Apollinare 985.66
Cannalonga VillaDiSerio 650.41
Brogliano Fontainemore 1557.74
Casavecchia Padria 986.37
AzzanoDecimo SanFratello 2733.3
Bonea SanFiorDiSopra 1688.48
Ala FavaleDiMalvaro 147.96
BrindisiMontagna Caravate 2058.51
Civitavecchia Zuglio 842.65
Cosniga-Zoppè Gravellona 909.19
Braies Portacomaro 510.27
SanPoloDeiCavalieri Vervio 1018.29
Corrido Montegridolfo 1353.52
Caldiero Montauro 3421.73
Baradili Esanatoglia 564.7
CostiglioleSaluzzo Monteflavio 2603.18
RomettaMarea Vistarino 2308.76
Massanzago-Ca'Baglioni-SanDono Ostana 773.62
Lauriano Spadafora 3669.33
Badesi Buscoldo 322.15
Calizzano CerretoLanghe 72.22
Sarno Torrebelvicino 1209.54
VillaCastelli VolpagoDelMontello 2440.59
CaseNuove Favari-Avatanei 207.04
Civitaluparella SanLorenzoInCampo 532.31
Canalicchio Lanvario 3996.95
Cepagatti Loiano 892.8
CountryPark Revere 905.72
Lauriano Rombiolo 4043.27
BellanteStazione Oliena 1245.69
SommaVesuviana Stilo 195.51
Acri FrancavillaD'Ete 1372.13
Calatafimi Casavecchia 1009.75
SanGregorioNelleAlpi Sant'AntonioAbate 2471.14
Cipressa Terruggia 203.63
Ardesio GiaccianoConBaruchella 152.32
Maclodio Sava 1819.21
Brogliano FiumefreddoSicilia 1904.3
MaglianoInToscana SanMauroDiSaline 803.53
Crema SoglianoCavour 1432.53
Cascinare Fossò 212.33
Castelfranci Madrano-Canzolino 1448.81
Cissone Suelli 1965.1
Boretto Carrodano 228.59
Bormio Cedrasco 45.48
Nicosia SantaCristinaValgardena 817.15
Bulgorello RoncoCanavese 168.46
Massiola Sinio 211.78
Neirone SanNazzaro 2214.68
Calamonaci Pertegada 1552.14
Carnate MontorioRomano 2043.53
Baraggia VillaFontana 998.99
Cremolino LidoAdriano 344.69
Bormio Onano 944.07
Cartura Ossi 1729.53
Bova Calatabiano 282.68
Marcaria Saonara 492.96
Offanengo VillaVicentina 474.56
LimoneSulGarda Triggiano 1582.14
Aielli CastelnuovoDiCeva 2320.7
Aurisina CastelloTesino 317.82
CoregliaLigure TrescoreBalneario 274.13
Girifalco SanGiovanniDelDosso 1303.95
Biandronno Pietragalla 2599.94
Calatafimi Melpignano 1951.13
GorlaMinore Sambuco 532.57
Anela SantaCristinaValgardena 1936.93
CampoMarzio Vita 656.46
Brognaturo Spirano 3594.91
IsolaDelLiri Mendicino 603.49
Casciago Santopadre 2214.28
ForlìDelSannio SanLorenzoNuovo 201.08
ContessaEntellina TrezzoTinella 2557.06
Casalzuigno Marco 725.25
Cannalonga Morino 200.34
NizzaMillefonti Senigallia 385.75
Scerni Spresiano 364.11
BrindisiMontagna Villagrande 726.87
Capitignano SanCostantinoCalabro 372.92
Campli Intragna 1236.8
Centrache Molinella 942.45
Folzano Tolentino 567.42
CampolongoAlTorre-Cavenzano CuassoAlPiano 1171.0
Carceri SamMarino 145.01
MaglianoInToscana Mentana 209.08
Albignasego Bubano 251.32
Castelfranci CoregliaLigure 2806.36
Crone Sezzadio 175.4
Prati Progresso 442.45
Mentana Sestola 468.55
CapezzanoInferiore CastelGuelfoDiBologna 552.74
Cartura SanBenedettoUllano 1804.25
Foligno Renazzo 569.89
Fragagnano Marco 3015.01
CuraCarpignano RossanoStazione 3947.4
MonteMiglioreLaSelvotta Nicotera 1073.04
Folzano Villaseta 1591.53
Gallicchio Marcallo 768.96
Carceri GrisignanoDiZocco 97.95
Acquaformosa Vita 1616.72
Onzo Villassio 620.39
Galatina SerravalleSesia 2409.43
MezzanaMortigliengo Onanì 2088.54
Milis Valenza 869.63
Brognaturo Valfloriana 2031.08
Pontelandolfo Vicalvi 419.65
Ailano CerroTanaro 1399.03
BadiaPolesine Giave 552.63
Bergeggi Civesio 591.77
Campertogno Ferrandina 2264.41
SanSosti Torchiarolo 193.33
Cras Villette 393.91
GrisignanoDiZocco Peseggia-Gardigiano 136.4
SanGiulianoDelSannio VillaDiSerio 2643.2
Mentana PramaggioreBlessaglia 590.8
Cominio MagrèSullaStradaDelVino 1229.24
Palanzano Torriana 400.28
Monsano Villette 934.09
CastelnuovoDiValDiCecina Roburent 410.41
Pomponesco Pozzoleone 555.68
Assemini SanNazzaro 2180.24
Pietragalla TorreDe'Passeri 702.86
Cagnò LugagnanoValD'Arda 595.25
BelvedereSpinello FerraraDiMonteBaldo 1916.29
Prati PuegnagoSulGarda 325.77
MacchiaD'Isernia RiesePioX 1455.76
Campodenno Scerni 900.19
CapezzanoInferiore Sant'ArcangeloTrimonte 39.56
Bentivoglio Casignana 3020.7
Castroreale Catenanuova 175.66
Fallo Petriano 859.35
DolegnaDelCollio Zogno 431.37
Assemini LidoAdriano 1405.58
Bubano Sorico 235.0
Moiola Roccamonfina 1151.57
Carnate Imposte 1299.65
Rezzato Sant'AngeloMuxaro 3227.31
Acquaformosa Palaia 758.3
